log(y+),u+
3.618149999999999977e+00,2.704579999999999984e+01
3.631390000000000118e+00,2.704579999999999984e+01
3.644639999999999880e+00,2.704579999999999984e+01
3.657890000000000086e+00,2.704579999999999984e+01
3.671129999999999782e+00,2.704579999999999984e+01
3.684379999999999988e+00,2.704579999999999984e+01
3.697620000000000129e+00,2.704579999999999984e+01
3.710869999999999891e+00,2.704579999999999984e+01
3.724120000000000097e+00,2.704579999999999984e+01
3.737359999999999793e+00,2.704579999999999984e+01
3.750609999999999999e+00,2.704579999999999984e+01
3.763850000000000140e+00,2.704579999999999984e+01
3.777099999999999902e+00,2.704570000000000007e+01
3.790340000000000042e+00,2.704570000000000007e+01
3.803589999999999804e+00,2.704570000000000007e+01
3.816840000000000011e+00,2.704570000000000007e+01
3.830080000000000151e+00,2.704570000000000007e+01
3.843329999999999913e+00,2.704570000000000007e+01
3.856570000000000054e+00,2.704570000000000007e+01
3.869819999999999816e+00,2.704570000000000007e+01
3.883070000000000022e+00,2.704570000000000007e+01
3.896310000000000162e+00,2.704570000000000007e+01
3.909559999999999924e+00,2.704570000000000007e+01
3.922800000000000065e+00,2.704560000000000031e+01
3.936049999999999827e+00,2.704560000000000031e+01
3.949300000000000033e+00,2.704560000000000031e+01
3.962540000000000173e+00,2.704560000000000031e+01
3.975789999999999935e+00,2.704560000000000031e+01
3.989030000000000076e+00,2.704560000000000031e+01
4.002279999999999838e+00,2.704560000000000031e+01
4.015520000000000422e+00,2.704560000000000031e+01
4.028769999999999740e+00,2.704550000000000054e+01
4.042019999999999946e+00,2.704550000000000054e+01
4.055259999999999643e+00,2.704550000000000054e+01
4.068509999999999849e+00,2.704550000000000054e+01
4.081750000000000433e+00,2.704550000000000054e+01
4.094999999999999751e+00,2.704550000000000054e+01
4.108249999999999957e+00,2.704550000000000054e+01
4.121489999999999654e+00,2.704540000000000077e+01
4.134739999999999860e+00,2.704540000000000077e+01
4.147979999999999556e+00,2.704540000000000077e+01
4.161229999999999762e+00,2.704540000000000077e+01
4.174479999999999968e+00,2.704540000000000077e+01
4.187719999999999665e+00,2.704540000000000077e+01
4.200969999999999871e+00,2.704530000000000101e+01
4.214209999999999567e+00,2.704530000000000101e+01
4.227459999999999773e+00,2.704530000000000101e+01
4.240709999999999980e+00,2.704530000000000101e+01
4.253949999999999676e+00,2.704530000000000101e+01
4.267199999999999882e+00,2.704520000000000124e+01
4.280439999999999579e+00,2.704520000000000124e+01
4.293689999999999785e+00,2.704520000000000124e+01
4.306930000000000369e+00,2.704520000000000124e+01
4.320179999999999687e+00,2.704510000000000147e+01
4.333429999999999893e+00,2.704510000000000147e+01
4.346669999999999590e+00,2.704510000000000147e+01
4.359919999999999796e+00,2.704510000000000147e+01
4.373160000000000380e+00,2.704500000000000171e+01
4.386409999999999698e+00,2.704500000000000171e+01
4.399659999999999904e+00,2.704500000000000171e+01
4.412899999999999601e+00,2.704489999999999839e+01
4.426149999999999807e+00,2.704489999999999839e+01
4.439390000000000391e+00,2.704489999999999839e+01
4.452639999999999709e+00,2.704479999999999862e+01
4.465889999999999915e+00,2.704479999999999862e+01
4.479129999999999612e+00,2.704479999999999862e+01
4.492379999999999818e+00,2.704469999999999885e+01
4.505620000000000402e+00,2.704469999999999885e+01
4.518869999999999720e+00,2.704469999999999885e+01
4.532110000000000305e+00,2.704459999999999908e+01
4.545359999999999623e+00,2.704459999999999908e+01
4.558609999999999829e+00,2.704459999999999908e+01
4.571850000000000414e+00,2.704449999999999932e+01
4.585099999999999731e+00,2.704449999999999932e+01
4.598340000000000316e+00,2.704439999999999955e+01
4.611589999999999634e+00,2.704439999999999955e+01
4.624839999999999840e+00,2.704429999999999978e+01
4.638080000000000425e+00,2.704429999999999978e+01
4.651329999999999742e+00,2.704429999999999978e+01
4.664570000000000327e+00,2.704420000000000002e+01
4.677819999999999645e+00,2.704420000000000002e+01
4.691069999999999851e+00,2.704410000000000025e+01
4.704310000000000436e+00,2.704410000000000025e+01
4.717559999999999754e+00,2.704400000000000048e+01
4.730800000000000338e+00,2.704400000000000048e+01
4.744049999999999656e+00,2.704390000000000072e+01
4.757299999999999862e+00,2.704380000000000095e+01
4.770539999999999559e+00,2.704380000000000095e+01
4.783789999999999765e+00,2.704370000000000118e+01
4.797030000000000349e+00,2.704370000000000118e+01
4.810279999999999667e+00,2.704360000000000142e+01
4.823520000000000252e+00,2.704360000000000142e+01
4.836769999999999570e+00,2.704350000000000165e+01
4.850019999999999776e+00,2.704339999999999833e+01
4.863260000000000360e+00,2.704339999999999833e+01
4.876509999999999678e+00,2.704329999999999856e+01
4.889750000000000263e+00,2.704319999999999879e+01
4.902999999999999581e+00,2.704319999999999879e+01
4.916249999999999787e+00,2.704309999999999903e+01
4.929490000000000371e+00,2.704299999999999926e+01
4.942739999999999689e+00,2.704299999999999926e+01
4.955980000000000274e+00,2.704289999999999949e+01
