y,mut
8.848825290000000843e-03,1.976773394999999880e+02
9.122871116000000682e-03,1.947480649000000028e+02
9.405404043000000283e-03,1.913962616000000025e+02
9.696686911999999325e-03,1.876001827000000048e+02
9.996990707999999642e-03,1.833376677999999913e+02
1.030659480999999988e-02,1.785862534999999980e+02
1.062578724000000016e-02,1.733233180999999945e+02
1.095486493999999963e-02,1.675262674999999888e+02
1.129413406999999966e-02,1.611727742999999862e+02
1.164391025000000024e-02,1.542410830000000033e+02
1.200451888000000043e-02,1.467104024999999865e+02
1.237629542999999985e-02,1.385614097000000129e+02
1.275958576999999990e-02,1.297769035999999971e+02
1.315474649000000079e-02,1.203426637000000028e+02
1.356214520999999944e-02,1.102486049999999977e+02
1.398216092000000021e-02,9.949037887000000069e+01
1.441518437999999951e-02,8.807170938999999521e+01
1.486161844000000003e-02,7.600805814000000282e+01
1.532187840999999981e-02,6.333299319000000338e+01
1.579639248000000093e-02,5.011087149000000096e+01
1.628560209000000022e-02,3.646669792000000143e+01
1.678996237000000141e-02,2.267599498999999952e+01
1.730994251999999969e-02,9.558666121999999987e+00
1.784602627999999983e-02,1.404458490999999976e+00
1.839871238999999867e-02,2.948941506000000157e-01
1.896851500999999912e-02,2.107379879999999872e-01
1.955596421999999945e-02,2.025972792000000078e-01
2.016160654999999899e-02,2.022107449999999973e-01
2.078600543000000064e-02,2.026229777999999926e-01
2.142974174999999828e-02,2.030895018999999968e-01
2.209341436000000075e-02,2.035351018999999873e-01
2.277764071000000154e-02,2.039540145000000027e-01
2.348305733000000117e-02,2.043472487999999920e-01
2.421032047999999853e-02,2.047163526000000122e-01
2.496010673000000069e-02,2.050628295999999962e-01
2.573311362999999852e-02,2.053880922999999914e-01
2.653006030000000168e-02,2.056934642000000091e-01
2.735168815999999836e-02,2.059801844999999965e-01
2.819876157000000133e-02,2.062494141000000003e-01
2.907206857999999894e-02,2.065022401999999924e-01
2.997242162999999918e-02,2.067396811999999973e-01
3.090065833000000053e-02,2.069626911999999930e-01
3.185764222999999673e-02,2.071721639999999920e-01
3.284426362000000127e-02,2.073689370000000032e-01
3.386144036000000163e-02,2.075537949000000049e-01
3.491011874000000265e-02,2.077274731000000041e-01
3.599127435999999874e-02,2.078906604000000102e-01
3.710591302999999980e-02,2.080440028999999968e-01
3.825507170999999790e-02,2.081881056999999868e-01
3.943981947999999904e-02,2.083235364000000089e-01
4.066125850999999930e-02,2.084508267000000081e-01
4.192052512000000314e-02,2.085704754999999910e-01
4.321879082999999927e-02,2.086829501999999947e-01
4.455726340999999896e-02,2.087886894000000049e-01
4.593718807999999654e-02,2.088881040999999994e-01
4.735984857000000159e-02,2.089815800000000001e-01
4.882656842000000080e-02,2.090694788000000137e-01
5.033871211999999679e-02,2.091521396999999893e-01
5.189768644000000014e-02,2.092298808999999982e-01
5.350494170000000271e-02,2.093030010999999968e-01
5.516197316000000239e-02,2.093717804000000127e-01
5.687032236000000296e-02,2.094364814999999935e-01
5.863157860999999860e-02,2.094973511999999871e-01
6.044738041000000117e-02,2.095546209999999965e-01
6.231941701999999667e-02,2.096085079999999989e-01
6.424943001999999792e-02,2.096592163000000064e-01
6.623921491999999744e-02,2.097069373000000070e-01
6.829062283999999539e-02,2.097518506000000116e-01
7.040556221999999531e-02,2.097941249999999980e-01
7.258600061000000658e-02,2.098339187999999911e-01
7.483396650000000150e-02,2.098713808999999875e-01
7.715155119000000061e-02,2.099066508999999914e-01
7.954091075999999982e-02,2.099398600000000059e-01
8.200426803999999459e-02,2.099711314000000106e-01
8.454391473000000268e-02,2.100005809000000112e-01
8.716221349000000118e-02,2.100283171000000004e-01
8.986160013999999752e-02,2.100544421999999967e-01
9.264458595999999768e-02,2.100790522000000049e-01
9.551375998000000145e-02,2.101022371000000055e-01
9.847179141999999608e-02,2.101240819000000093e-01
1.015214321999999975e-01,2.101446660000000077e-01
1.046655192999999956e-01,2.101640643000000086e-01
1.079069779000000062e-01,2.101823470999999999e-01
1.112488234999999964e-01,2.101995806999999994e-01
1.146941649000000063e-01,2.102158269999999940e-01
1.182462075000000057e-01,2.102311447000000111e-01
1.219082558000000038e-01,2.102455887000000134e-01
1.256837164999999867e-01,2.102592108000000126e-01
1.295761021000000068e-01,2.102720593999999887e-01
1.335890336999999983e-01,2.102841806000000091e-01
1.377262445000000113e-01,2.102956172000000068e-01
1.419915834000000099e-01,2.103064099999999992e-01
1.463890184999999955e-01,2.103165971000000023e-01
1.509226408999999880e-01,2.103262146000000055e-01
1.555966681000000018e-01,2.103352964000000103e-01
1.604154485000000019e-01,2.103438746000000081e-01
1.653834650000000073e-01,2.103519795000000081e-01
1.705053394000000111e-01,2.103596397999999978e-01
1.757858367000000033e-01,2.103668827000000074e-01
1.812298693000000127e-01,2.103737340999999872e-01
1.868425019000000131e-01,2.103802187999999906e-01
1.926289560999999984e-01,2.103863606999999969e-01
1.985946148999999938e-01,2.103921836000000045e-01
2.047450282000000121e-01,2.103977117999999980e-01
2.110859180000000113e-01,2.104029773999999964e-01
2.176231831999999866e-01,2.104080479000000059e-01
2.243629054000000067e-01,2.104131452999999929e-01
2.313113546999999992e-01,2.104189843000000004e-01
2.384749954000000005e-01,2.104268394999999903e-01
2.458604916999999890e-01,2.104365031000000053e-01
2.534747145999999840e-01,2.104456805999999902e-01
2.613247476000000180e-01,2.104530538999999922e-01
2.694178936000000135e-01,2.104586481000000064e-01
2.777616819000000015e-01,2.104628753999999990e-01
2.863638747000000206e-01,2.104661194000000124e-01
2.952324747000000249e-01,2.104686622999999979e-01
3.043757324999999958e-01,2.104707000999999911e-01
3.138021542000000164e-01,2.104723675000000072e-01
3.235205091999999727e-01,2.104737573999999889e-01
3.335398386000000270e-01,2.104749345999999965e-01
3.438694635000000277e-01,2.104759448000000088e-01
3.545189937000000069e-01,2.104768214000000137e-01
3.654983365999999734e-01,2.104775886999999956e-01
3.768177061999999911e-01,2.104782654000000031e-01
3.884876333000000237e-01,2.104788656000000091e-01
4.005189742999999969e-01,2.104794007000000133e-01
4.129229221999999866e-01,2.104798798999999998e-01
