y,u
9.122869999999999938e-03,9.255330000000000501e-01
9.405399999999999525e-03,9.302839999999999998e-01
9.696690000000000864e-03,9.350260000000000238e-01
9.996990000000000737e-03,9.397499999999999742e-01
1.030660000000000083e-02,9.444460000000000077e-01
1.062579999999999948e-02,9.491020000000000012e-01
1.095490000000000005e-02,9.537029999999999674e-01
1.129409999999999963e-02,9.582340000000000302e-01
1.164390000000000043e-02,9.626770000000000049e-01
1.200449999999999955e-02,9.670100000000000362e-01
1.237629999999999980e-02,9.712110000000000465e-01
1.275959999999999941e-02,9.752520000000000078e-01
1.315470000000000007e-02,9.791020000000000278e-01
1.356210000000000054e-02,9.827259999999999884e-01
1.398220000000000018e-02,9.860849999999999893e-01
1.441519999999999954e-02,9.891360000000000152e-01
1.486160000000000085e-02,9.918310000000000182e-01
1.532189999999999941e-02,9.941189999999999749e-01
1.579639999999999864e-02,9.959500000000000020e-01
1.628560000000000077e-02,9.972809999999999730e-01
1.678999999999999937e-02,9.980970000000000120e-01
1.730989999999999959e-02,9.984570000000000389e-01
1.784600000000000075e-02,9.985420000000000407e-01
1.839870000000000047e-02,9.985450000000000159e-01
1.896849999999999925e-02,9.985439999999999872e-01
1.955600000000000047e-02,9.985439999999999872e-01
2.016159999999999827e-02,9.985429999999999584e-01
2.078599999999999892e-02,9.985429999999999584e-01
2.142969999999999944e-02,9.985429999999999584e-01
2.209339999999999915e-02,9.985429999999999584e-01
2.277759999999999854e-02,9.985429999999999584e-01
2.348309999999999981e-02,9.985420000000000407e-01
2.421030000000000057e-02,9.985420000000000407e-01
2.496009999999999895e-02,9.985420000000000407e-01
2.573309999999999834e-02,9.985420000000000407e-01
2.653010000000000090e-02,9.985420000000000407e-01
2.735169999999999962e-02,9.985410000000000119e-01
2.819879999999999956e-02,9.985410000000000119e-01
2.907210000000000003e-02,9.985410000000000119e-01
2.997239999999999974e-02,9.985410000000000119e-01
3.090069999999999970e-02,9.985399999999999832e-01
3.185759999999999981e-02,9.985399999999999832e-01
3.284429999999999988e-02,9.985399999999999832e-01
3.386139999999999983e-02,9.985399999999999832e-01
3.491009999999999946e-02,9.985389999999999544e-01
3.599129999999999691e-02,9.985389999999999544e-01
3.710589999999999722e-02,9.985389999999999544e-01
3.825510000000000022e-02,9.985380000000000367e-01
3.943979999999999708e-02,9.985380000000000367e-01
4.066129999999999745e-02,9.985380000000000367e-01
4.192049999999999943e-02,9.985370000000000079e-01
4.321880000000000166e-02,9.985370000000000079e-01
4.455730000000000107e-02,9.985370000000000079e-01
4.593719999999999748e-02,9.985359999999999792e-01
4.735990000000000338e-02,9.985359999999999792e-01
