y,mut
2.613158709999999912e-02,2.046569287999999986e-01
2.694087476000000050e-02,2.050043343999999879e-01
2.777522430000000167e-02,2.053306550000000008e-01
2.863541432000000012e-02,2.056371868000000103e-01
2.952224574999999865e-02,2.059251367999999915e-01
3.043654001999999970e-02,2.061956674000000045e-01
3.137915209000000094e-02,2.064498365000000113e-01
3.235095367000000166e-02,2.066886424999999916e-01
3.335285186999999846e-02,2.069130241999999897e-01
3.438577800999999962e-02,2.071239054000000024e-01
3.545069694999999910e-02,2.073220611000000102e-01
3.654859215000000328e-02,2.075082957999999922e-01
3.768049181000000108e-02,2.076833248000000132e-01
3.884744644000000247e-02,2.078478633999999992e-01
4.005054011999999858e-02,2.080025225999999894e-01
4.129089042999999765e-02,2.081479132000000065e-01
4.256965965000000102e-02,2.082846016000000078e-01
4.388802870999999883e-02,2.084131092000000018e-01
4.524722694999999684e-02,2.085339427000000023e-01
4.664851725000000032e-02,2.086475789999999997e-01
4.809320717999999995e-02,2.087544650000000002e-01
4.958264157000000227e-02,2.088550030999999918e-01
5.111819877999999873e-02,2.089495510000000111e-01
5.270131304999999683e-02,2.090384811000000065e-01
5.433345585999999755e-02,2.091221362000000028e-01
5.601614713999999995e-02,2.092008293000000019e-01
5.775095150000000149e-02,2.092748581999999968e-01
5.953947827000000137e-02,2.093445063000000106e-01
6.138340010999999985e-02,2.094100416000000131e-01
6.328442692999999841e-02,2.094717026000000037e-01
6.524432451000000688e-02,2.095297426000000129e-01
6.726492196000000146e-02,2.095843554000000053e-01
6.934808939999999311e-02,2.096357644000000076e-01
7.149577885999999771e-02,2.096841633000000038e-01
7.370998709999999898e-02,2.097297161999999993e-01
7.599275559000000235e-02,2.097726017000000054e-01
7.834623008999999638e-02,2.098129689999999881e-01
8.077258616999999363e-02,2.098509966999999865e-01
8.327408880000000679e-02,2.098867892999999873e-01
8.585306256999999941e-02,2.099205105999999987e-01
8.851190656000000601e-02,2.099522649999999990e-01
9.125309437999999662e-02,2.099821716999999976e-01
9.407917409999999592e-02,2.100103497999999957e-01
9.699277580000000010e-02,2.100368737999999957e-01
9.999661147999999722e-02,2.100618780000000074e-01
1.030934750999999983e-01,2.100854366999999889e-01
1.062862500999999932e-01,2.101076393999999903e-01
1.095779016999999939e-01,2.101285458000000106e-01
1.129714921000000011e-01,2.101482748999999872e-01
1.164701878999999940e-01,2.101668416999999955e-01
1.200772299999999931e-01,2.101843505999999862e-01
1.237959861999999994e-01,2.102008610999999971e-01
1.276299059000000069e-01,2.102164179000000077e-01
