variables="x","y","mut"
zone, t="CFL3D"
 9.701266289E-01 1.839772798E-03 1.155116577E+02
 9.701266289E-01 1.896752161E-03 1.186218948E+02
 9.701266289E-01 1.955496147E-03 1.217839355E+02
 9.701266289E-01 2.016059356E-03 1.249962692E+02
 9.701266289E-01 2.078498015E-03 1.282571564E+02
 9.701266289E-01 2.142870566E-03 1.315645599E+02
 9.701266289E-01 2.209236380E-03 1.349161835E+02
 9.701266289E-01 2.277657622E-03 1.383094025E+02
 9.701266289E-01 2.348197857E-03 1.417412720E+02
 9.701266289E-01 2.420922508E-03 1.452084351E+02
 9.701266289E-01 2.495899564E-03 1.487072144E+02
 9.701266289E-01 2.573198406E-03 1.522334900E+02
 9.701266289E-01 2.652890980E-03 1.557826843E+02
 9.701266289E-01 2.735051792E-03 1.593497925E+02
 9.701266289E-01 2.819756977E-03 1.629292755E+02
 9.701266289E-01 2.907085465E-03 1.665150604E+02
 9.701266289E-01 2.997118514E-03 1.701005096E+02
 9.701266289E-01 3.089939710E-03 1.736784058E+02
 9.701266289E-01 3.185635433E-03 1.772408600E+02
 9.701266289E-01 3.284294857E-03 1.807793427E+02
 9.701266289E-01 3.386009717E-03 1.842845917E+02
 9.701266289E-01 3.490874544E-03 1.877466431E+02
 9.701266289E-01 3.598987125E-03 1.911546783E+02
 9.701266289E-01 3.710447578E-03 1.944971466E+02
 9.701266289E-01 3.825360211E-03 1.977615814E+02
 9.701266289E-01 3.943831660E-03 2.009346466E+02
 9.701266289E-01 4.065971822E-03 2.040021057E+02
 9.701266289E-01 4.191894550E-03 2.069487457E+02
 9.701266289E-01 4.321717191E-03 2.097583771E+02
 9.701266289E-01 4.455560353E-03 2.124138336E+02
 9.701266289E-01 4.593548831E-03 2.148968964E+02
 9.701266289E-01 4.735810217E-03 2.171883545E+02
 9.701266289E-01 4.882477690E-03 2.192264709E+02
 9.701266289E-01 5.033687688E-03 2.205130768E+02
 9.701266289E-01 5.189579912E-03 2.211876984E+02
 9.701266289E-01 5.350300577E-03 2.214121246E+02
 9.701266289E-01 5.515998229E-03 2.212940674E+02
 9.701266289E-01 5.686827935E-03 2.208920593E+02
 9.701266289E-01 5.862948019E-03 2.202229614E+02
 9.701266289E-01 6.044522393E-03 2.192702332E+02
 9.701266289E-01 6.231720094E-03 2.179919281E+02
 9.701266289E-01 6.424714811E-03 2.163277130E+02
 9.701266289E-01 6.623687223E-03 2.142048950E+02
 9.701266289E-01 6.828821264E-03 2.115440063E+02
 9.701266289E-01 7.040308323E-03 2.082644501E+02
 9.701266289E-01 7.258344907E-03 2.042911987E+02
 9.701266289E-01 7.483134046E-03 1.995630341E+02
 9.701266289E-01 7.714885287E-03 1.940427094E+02
 9.701266289E-01 7.953813300E-03 1.877285004E+02
 9.701266289E-01 8.200140670E-03 1.806669159E+02
 9.701266289E-01 8.454097435E-03 1.729651184E+02
 9.701266289E-01 8.715918288E-03 1.648027496E+02
 9.701266289E-01 8.985848166E-03 1.564419861E+02
 9.701266289E-01 9.264137596E-03 1.482340240E+02
 9.701266289E-01 9.551045485E-03 1.406168365E+02
 9.701266289E-01 9.846839122E-03 1.340890656E+02
 9.701266289E-01 1.015179232E-02 1.291127625E+02
 9.701266289E-01 1.046619099E-02 1.256540146E+02
 9.701266289E-01 1.079032570E-02 1.221569595E+02
 9.701266289E-01 1.112449914E-02 1.143576126E+02
 9.701266289E-01 1.146902237E-02 1.021560440E+02
 9.701266289E-01 1.182421483E-02 8.893892670E+01
 9.701266289E-01 1.219040714E-02 7.472493744E+01
 9.701266289E-01 1.256794017E-02 5.962248611E+01
 9.701266289E-01 1.295716595E-02 4.394408035E+01
 9.701266289E-01 1.335844584E-02 2.851806831E+01
 9.701266289E-01 1.377215330E-02 1.533803368E+01
 9.701266289E-01 1.419867296E-02 6.476557255E+00
 9.701266289E-01 1.463840157E-02 1.715764523E+00
 9.701266289E-01 1.509174798E-02 2.127352953E-01
 9.701266289E-01 1.555913500E-02 2.349145338E-02
 9.701266289E-01 1.604099758E-02 8.337188512E-03
 9.701266289E-01 1.653778180E-02 7.237954997E-03
 9.701266289E-01 1.704995334E-02 7.161878049E-03
 9.701266289E-01 1.757798530E-02 7.156833075E-03
 9.701266289E-01 1.812236942E-02 7.156512700E-03
 9.701266289E-01 1.868361421E-02 7.156493608E-03
 9.701266289E-01 1.926223934E-02 7.156493142E-03
 9.701266289E-01 1.985878497E-02 7.156493608E-03
 9.701266289E-01 2.047380619E-02 7.156494074E-03
 9.701266289E-01 2.110787295E-02 7.156494539E-03
 9.701266289E-01 2.176157758E-02 7.156495471E-03
 9.701266289E-01 2.243552729E-02 7.156495936E-03
 9.701266289E-01 2.313034981E-02 7.156496402E-03
 9.701266289E-01 2.384668961E-02 7.156497333E-03
 9.701266289E-01 2.458521351E-02 7.156497799E-03
 9.701266289E-01 2.534661070E-02 7.156498265E-03
 9.701266289E-01 2.613158710E-02 7.156498730E-03
 9.701266289E-01 2.694087476E-02 7.156499662E-03
 9.701266289E-01 2.777522430E-02 7.156500593E-03
 9.701266289E-01 2.863541432E-02 7.156501058E-03
 9.701266289E-01 2.952224575E-02 7.156501990E-03
 9.701266289E-01 3.043654002E-02 7.156502921E-03
 9.701266289E-01 3.137915209E-02 7.156503387E-03
 9.701266289E-01 3.235095367E-02 7.156504318E-03
 9.701266289E-01 3.335285187E-02 7.156504784E-03
 9.701266289E-01 3.438577801E-02 7.156506181E-03
 9.701266289E-01 3.545069695E-02 7.156506646E-03
 9.701266289E-01 3.654859215E-02 7.156507578E-03
 9.701266289E-01 3.768049181E-02 7.156508975E-03
 9.701266289E-01 3.884744644E-02 7.156509440E-03
 9.701266289E-01 4.005054012E-02 7.156510372E-03
 9.701266289E-01 4.129089043E-02 7.156511769E-03
 9.701266289E-01 4.256965965E-02 7.156512700E-03
 9.701266289E-01 4.388802871E-02 7.156513631E-03
 9.701266289E-01 4.524722695E-02 7.156515028E-03
 9.701266289E-01 4.664851725E-02 7.156516425E-03
 9.701266289E-01 4.809320718E-02 7.156517357E-03
 9.701266289E-01 4.958264157E-02 7.156518754E-03
 9.701266289E-01 5.111819878E-02 7.156519685E-03
 9.701266289E-01 5.270131305E-02 7.156520616E-03
 9.701266289E-01 5.433345586E-02 7.156522013E-03
 9.701266289E-01 5.601614714E-02 7.156523410E-03
 9.701266289E-01 5.775095150E-02 7.156524807E-03
 9.701266289E-01 5.953947827E-02 7.156526204E-03
 9.701266289E-01 6.138340011E-02 7.156527601E-03
 9.701266289E-01 6.328442693E-02 7.156529464E-03
 9.701266289E-01 6.524432451E-02 7.156530861E-03
 9.701266289E-01 6.726492196E-02 7.156532258E-03
 9.701266289E-01 6.934808940E-02 7.156534120E-03
 9.701266289E-01 7.149577886E-02 7.156535517E-03
 9.701266289E-01 7.370998710E-02 7.156537846E-03
 9.701266289E-01 7.599275559E-02 7.156539243E-03
 9.701266289E-01 7.834623009E-02 7.156541105E-03
 9.701266289E-01 8.077258617E-02 7.156543434E-03
 9.701266289E-01 8.327408880E-02 7.156545296E-03
 9.701266289E-01 8.585306257E-02 7.156546693E-03
 9.701266289E-01 8.851190656E-02 7.156549022E-03
 9.701266289E-01 9.125309438E-02 7.156550884E-03
 9.701266289E-01 9.407917410E-02 7.156553213E-03
 9.701266289E-01 9.699277580E-02 7.156555541E-03
 9.701266289E-01 9.999661148E-02 7.156557869E-03
 9.701266289E-01 1.030934751E-01 7.156560197E-03
 9.701266289E-01 1.062862501E-01 7.156562526E-03
 9.701266289E-01 1.095779017E-01 7.156564854E-03
 9.701266289E-01 1.129714921E-01 7.156567182E-03
 9.701266289E-01 1.164701879E-01 7.156569976E-03
 9.701266289E-01 1.200772300E-01 7.156572770E-03
 9.701266289E-01 1.237959862E-01 7.156575564E-03
 9.701266289E-01 1.276299059E-01 7.156578358E-03
 9.701266289E-01 1.315825731E-01 7.156581152E-03
 9.701266289E-01 1.356576383E-01 7.156583946E-03
 9.701266289E-01 1.398589164E-01 7.156586740E-03
 9.701266289E-01 1.441902965E-01 7.156590000E-03
 9.701266289E-01 1.486558318E-01 7.156592794E-03
 9.701266289E-01 1.532596499E-01 7.156596519E-03
 9.701266289E-01 1.580060571E-01 7.156599313E-03
 9.701266289E-01 1.628994495E-01 7.156603038E-03
 9.701266289E-01 1.679444015E-01 7.156606298E-03
 9.701266289E-01 1.731455922E-01 7.156610023E-03
 9.701266289E-01 1.785078496E-01 7.156613283E-03
 9.701266289E-01 1.840361804E-01 7.156617474E-03
 9.701266289E-01 1.897357255E-01 7.156621199E-03
 9.701266289E-01 1.956117898E-01 7.156625390E-03
 9.701266289E-01 2.016698271E-01 7.156628650E-03
 9.701266289E-01 2.079154700E-01 7.156633306E-03
 9.701266289E-01 2.143545449E-01 7.156637497E-03
 9.701266289E-01 2.209930420E-01 7.156641688E-03
 9.701266289E-01 2.278371304E-01 7.156645879E-03
 9.701266289E-01 2.348931730E-01 7.156650536E-03
 9.701266289E-01 2.421677411E-01 7.156654727E-03
 9.701266289E-01 2.496675998E-01 7.156659849E-03
 9.701266289E-01 2.573997378E-01 7.156664506E-03
 9.701266289E-01 2.653713226E-01 7.156669162E-03
 9.701266289E-01 2.735897899E-01 7.156674284E-03
 9.701266289E-01 2.820627689E-01 7.156679407E-03
 9.701266289E-01 2.907981873E-01 7.156684529E-03
 9.701266289E-01 2.998040915E-01 7.156689651E-03
 9.701266289E-01 3.090889454E-01 7.156695239E-03
 9.701266289E-01 3.186613321E-01 7.156700362E-03
 9.701266289E-01 3.285301626E-01 7.156705949E-03
 9.701266289E-01 3.387046456E-01 7.156711537E-03
 9.701266289E-01 3.491942286E-01 7.156718057E-03
 9.701266289E-01 3.600086570E-01 7.156723645E-03
 9.701266289E-01 3.711580336E-01 7.156729233E-03
 9.701266289E-01 3.826526701E-01 7.156735752E-03
 9.701266289E-01 3.945032954E-01 7.156741805E-03
 9.701266289E-01 4.067209363E-01 7.156748325E-03
 9.701266289E-01 4.193169773E-01 7.156754378E-03
 9.701266289E-01 4.323030710E-01 7.156760897E-03
 9.701266289E-01 4.456913769E-01 7.156767417E-03
 9.701266289E-01 4.594942927E-01 7.156774402E-03
 9.701266289E-01 4.737246931E-01 7.156780921E-03
 9.701266289E-01 4.883958101E-01 7.156787906E-03
 9.701266289E-01 5.035212636E-01 7.156794891E-03
 9.701266289E-01 5.191151500E-01 7.156801876E-03
 9.701266289E-01 5.351920128E-01 7.156808861E-03
 9.701266289E-01 5.517667532E-01 7.156816311E-03
 9.701266289E-01 5.688547492E-01 7.156823296E-03
 9.701266289E-01 5.864720345E-01 7.156830747E-03
 9.701266289E-01 6.046348810E-01 7.156837732E-03
 9.701266289E-01 6.233602166E-01 7.156845182E-03
 9.701266289E-01 6.426655054E-01 7.156852167E-03
 9.701266289E-01 6.625686884E-01 7.156859618E-03
 9.701266289E-01 6.830881834E-01 7.156866603E-03
 9.701266289E-01 7.042432427E-01 7.156874053E-03
 9.701266289E-01 7.260534167E-01 7.156881038E-03
 9.701266289E-01 7.485390902E-01 7.156888489E-03
 9.701266289E-01 7.717211246E-01 7.156895474E-03
 9.701266289E-01 7.956210375E-01 7.156901993E-03
 9.701266289E-01 8.202611804E-01 7.156908978E-03
 9.701266289E-01 8.456644416E-01 7.156915497E-03
 9.701266289E-01 8.718544245E-01 7.156922016E-03
 9.701266289E-01 8.988554478E-01 7.156927604E-03
 9.701266289E-01 9.266927242E-01 7.156933192E-03
 9.701266289E-01 9.553921223E-01 7.156935055E-03
 9.701266289E-01 9.849802852E-01 7.156932261E-03
zone, t="FUN3D"
 9.700000000E-01 0.000000000E+00 0.000000000E+00
 9.700000000E-01 5.000000001E-07 6.192749981E-11
 9.700000000E-01 1.000465155E-06 2.258720782E-09
 9.700000000E-01 1.501861053E-06 2.228889164E-08
 9.700000000E-01 2.004654148E-06 1.149838163E-07
 9.700000000E-01 2.509312193E-06 4.092739849E-07
 9.700000000E-01 3.016304676E-06 1.150088212E-06
 9.700000000E-01 3.526103259E-06 2.747414554E-06
 9.700000000E-01 4.039182211E-06 5.833673665E-06
 9.700000000E-01 4.556018856E-06 1.133098077E-05
 9.700000000E-01 5.077094012E-06 2.053020349E-05
 9.700000000E-01 5.602892439E-06 3.518403607E-05
 9.700000000E-01 6.133903295E-06 5.761662574E-05
 9.700000000E-01 6.670620584E-06 9.085260721E-05
 9.700000000E-01 7.213543618E-06 1.387687222E-04
 9.700000000E-01 7.763177486E-06 2.062715119E-04
 9.700000000E-01 8.320033518E-06 2.995048493E-04
 9.700000000E-01 8.884629761E-06 4.260913033E-04
 9.700000000E-01 9.457491465E-06 5.954114518E-04
 9.700000000E-01 1.003915157E-05 8.189252462E-04
 9.700000000E-01 1.063015120E-05 1.110539304E-03
 9.700000000E-01 1.123104017E-05 1.487023498E-03
 9.700000000E-01 1.184237749E-05 1.968479328E-03
 9.700000000E-01 1.246473189E-05 2.578861195E-03
 9.700000000E-01 1.309868236E-05 3.346549754E-03
 9.700000000E-01 1.374481867E-05 4.304973862E-03
 9.700000000E-01 1.440374193E-05 5.493274213E-03
 9.700000000E-01 1.507606513E-05 6.956997464E-03
 9.700000000E-01 1.576241375E-05 8.748804505E-03
 9.700000000E-01 1.646342630E-05 1.092917069E-02
 9.700000000E-01 1.717975495E-05 1.356704946E-02
 9.700000000E-01 1.791206609E-05 1.674046424E-02
 9.700000000E-01 1.866104102E-05 2.053698776E-02
 9.700000000E-01 1.942737650E-05 2.505406295E-02
 9.700000000E-01 2.021178547E-05 3.039911768E-02
 9.700000000E-01 2.101499767E-05 3.668942648E-02
 9.700000000E-01 2.183776033E-05 4.405167819E-02
 9.700000000E-01 2.268083889E-05 5.262121947E-02
 9.700000000E-01 2.354501766E-05 6.254096101E-02
 9.700000000E-01 2.443110060E-05 7.395995507E-02
 9.700000000E-01 2.533991204E-05 8.703167920E-02
 9.700000000E-01 2.627229746E-05 1.019120883E-01
 9.700000000E-01 2.722912427E-05 1.187575232E-01
 9.700000000E-01 2.821128261E-05 1.377225833E-01
 9.700000000E-01 2.921968619E-05 1.589580843E-01
 9.700000000E-01 3.025527315E-05 1.826092183E-01
 9.700000000E-01 3.131900689E-05 2.088140243E-01
 9.700000000E-01 3.241187703E-05 2.377022506E-01
 9.700000000E-01 3.353490026E-05 2.693946573E-01
 9.700000000E-01 3.468912136E-05 3.040027730E-01
 9.700000000E-01 3.587561410E-05 3.416290792E-01
 9.700000000E-01 3.709548228E-05 3.823675700E-01
 9.700000000E-01 3.834986078E-05 4.263046066E-01
 9.700000000E-01 3.963991653E-05 4.735199797E-01
 9.700000000E-01 4.096684971E-05 5.240880859E-01
 9.700000000E-01 4.233189477E-05 5.780791333E-01
 9.700000000E-01 4.373632161E-05 6.355603010E-01
 9.700000000E-01 4.518143681E-05 6.965967949E-01
 9.700000000E-01 4.666858475E-05 7.612527561E-01
 9.700000000E-01 4.819914896E-05 8.295919946E-01
 9.700000000E-01 4.977455332E-05 9.016785330E-01
 9.700000000E-01 5.139626346E-05 9.775769560E-01
 9.700000000E-01 5.306578807E-05 1.054368774E+00
 9.700000000E-01 5.478468032E-05 1.133268408E+00
 9.700000000E-01 5.655453931E-05 1.216153251E+00
 9.700000000E-01 5.837701157E-05 1.303497957E+00
 9.700000000E-01 6.025379256E-05 1.395531073E+00
 9.700000000E-01 6.218662827E-05 1.492438083E+00
 9.700000000E-01 6.417731683E-05 1.594399010E+00
 9.700000000E-01 6.622771021E-05 1.701595940E+00
 9.700000000E-01 6.833971589E-05 1.814214887E+00
 9.700000000E-01 7.051529871E-05 1.932446631E+00
 9.700000000E-01 7.275648264E-05 2.056487463E+00
 9.700000000E-01 7.506535266E-05 2.186540020E+00
 9.700000000E-01 7.744405674E-05 2.322814053E+00
 9.700000000E-01 7.989480782E-05 2.465526295E+00
 9.700000000E-01 8.241988585E-05 2.614896454E+00
 9.700000000E-01 8.502163994E-05 2.771159788E+00
 9.700000000E-01 8.770249053E-05 2.934576695E+00
 9.700000000E-01 9.046493164E-05 3.105416435E+00
 9.700000000E-01 9.331153320E-05 3.283960256E+00
 9.700000000E-01 9.624494343E-05 3.470492059E+00
 9.700000000E-01 9.926789131E-05 3.665261232E+00
 9.700000000E-01 1.023831891E-04 3.868372620E+00
 9.700000000E-01 1.055937351E-04 4.079488850E+00
 9.700000000E-01 1.089025159E-04 4.297064821E+00
 9.700000000E-01 1.123126099E-04 4.516452350E+00
 9.700000000E-01 1.158271895E-04 4.741208005E+00
 9.700000000E-01 1.194495242E-04 4.974160437E+00
 9.700000000E-01 1.231829841E-04 5.215548281E+00
 9.700000000E-01 1.270310424E-04 5.465617408E+00
 9.700000000E-01 1.309972789E-04 5.724621085E+00
 9.700000000E-01 1.350853835E-04 5.992820144E+00
 9.700000000E-01 1.392991595E-04 6.270483161E+00
 9.700000000E-01 1.436425268E-04 6.557886631E+00
 9.700000000E-01 1.481195263E-04 6.855315156E+00
 9.700000000E-01 1.527343229E-04 7.163061659E+00
 9.700000000E-01 1.574912098E-04 7.481427576E+00
 9.700000000E-01 1.623946124E-04 7.810723026E+00
 9.700000000E-01 1.674490923E-04 8.151267045E+00
 9.700000000E-01 1.726593518E-04 8.503387789E+00
 9.700000000E-01 1.780302381E-04 8.867422754E+00
 9.700000000E-01 1.835667477E-04 9.243718988E+00
 9.700000000E-01 1.892740313E-04 9.632633316E+00
 9.700000000E-01 1.951573985E-04 1.003453256E+01
 9.700000000E-01 2.012223227E-04 1.044979375E+01
 9.700000000E-01 2.074744460E-04 1.087880438E+01
 9.700000000E-01 2.139195848E-04 1.132196261E+01
 9.700000000E-01 2.205637353E-04 1.177967751E+01
 9.700000000E-01 2.274130784E-04 1.225236925E+01
 9.700000000E-01 2.344739863E-04 1.274046940E+01
 9.700000000E-01 2.417530277E-04 1.324442107E+01
 9.700000000E-01 2.492569744E-04 1.376467920E+01
